SUBJECT;LABEL;DICE;HDRFDST;;LABEL;METRIC;STATISTIC;POST;NOPOST;;;;;;
117122;Amygdala;0.494309892;13.60147051;;Amygdala;DICE;MEAN;0.583648083;0.552712577;;;;;;
117122;GreyMatter;0.723516134;2;;Amygdala;DICE;STD;0.050666563;0.049853376;;;;;;
117122;Hippocampus;0.570443949;13.92838828;;Amygdala;HDRFDST;MEAN;12.10601735;12.41294988;;;;;;
117122;Thalamus;0.776593247;14.35270009;;Amygdala;HDRFDST;STD;1.43152747;1.272271742;;;;;;
117122;WhiteMatter;0.817264715;3;;GreyMatter;DICE;MEAN;0.714397904;0.725482955;;;;;;
117122-PP;Amygdala;0.538028457;13.41640786;;GreyMatter;DICE;STD;0.007608863;0.008034442;;;;;;
117122-PP;GreyMatter;0.710905899;2.449489743;;GreyMatter;HDRFDST;MEAN;2.651325106;2.09216257;;;;;;
117122-PP;Hippocampus;0.633080629;11.78982612;;GreyMatter;HDRFDST;STD;0.279831656;0.151181287;;;;;;
117122-PP;Thalamus;0.80077062;4.242640687;;Hippocampus;DICE;MEAN;0.593494551;0.538968835;;;;;;
117122-PP;WhiteMatter;0.823519552;2;;Hippocampus;DICE;STD;0.029186347;0.020776842;;;;;;
118528;Amygdala;0.463200422;13.92838828;;Hippocampus;HDRFDST;MEAN;10.95376837;13.05235442;;;;;;
118528;GreyMatter;0.721883182;2.236067977;;Hippocampus;HDRFDST;STD;1.208745225;0.967493683;;;;;;
118528;Hippocampus;0.540459484;14.31782106;;Thalamus;DICE;MEAN;0.775277208;0.747342439;;;;;;
118528;Thalamus;0.727798705;15.13274595;;Thalamus;DICE;STD;0.031458574;0.030846737;;;;;;
118528;WhiteMatter;0.829136246;2.828427125;;Thalamus;HDRFDST;MEAN;6.617447094;14.74554074;;;;;;
118528-PP;Amygdala;0.494017404;13.92838828;;Thalamus;HDRFDST;STD;2.983173918;1.081216076;;;;;;
118528-PP;GreyMatter;0.708784298;2.828427125;;WhiteMatter;DICE;MEAN;0.831970103;0.824975043;;;;;;
118528-PP;Hippocampus;0.585951547;13.03840481;;WhiteMatter;DICE;STD;0.018236787;0.019111402;;;;;;S
118528-PP;Thalamus;0.756675215;5;;WhiteMatter;HDRFDST;MEAN;1.973205081;2.719348531;;;;;;
118528-PP;WhiteMatter;0.836425784;2;;WhiteMatter;HDRFDST;STD;0.084732975;0.324258491;;;;;;
118730;Amygdala;0.570580297;11.66190379;;;;;;;;;;;;
118730;GreyMatter;0.729920856;2;;;;;;;;;;;;
118730;Hippocampus;0.502746836;11.40175425;;;;;;;;;;;;
118730;Thalamus;0.723315836;15;;;;;;;;;;;;
118730;WhiteMatter;0.815609073;2.236067977;;;;;;;;;;;;
118730-PP;Amygdala;0.595566319;11.48912529;;;;;;;;;;;;
118730-PP;GreyMatter;0.717257623;2.828427125;;;;;;;;;;;;
118730-PP;Hippocampus;0.531150465;9.219544457;;;;;;;;;;;;
118730-PP;Thalamus;0.744073602;9.433981132;;;;;;;;;;;;
118730-PP;WhiteMatter;0.82430328;1.732050808;;;;;;;;;;;;
118932;Amygdala;0.551737054;12.72792206;;;;;;;;;;;;
118932;GreyMatter;0.733988484;2;;;;;;;;;;;;
118932;Hippocampus;0.520447217;13.37908816;;;;;;;;;;;;
118932;Thalamus;0.743086456;14.86606875;;;;;;;;;;;;
118932;WhiteMatter;0.834858504;2.236067977;;;;;;;;;;;;
118932-PP;Amygdala;0.571127704;12.56980509;;;;;;;;;;;;
118932-PP;GreyMatter;0.720764093;3;;;;;;;;;;;;
118932-PP;Hippocampus;0.589032656;11.18033989;;;;;;;;;;;;
118932-PP;Thalamus;0.772648623;5.196152423;;;;;;;;;;;;
118932-PP;WhiteMatter;0.840363546;2;;;;;;;;;;;;
120111;Amygdala;0.520559631;9.486832981;;;;;;;;;;;;
120111;GreyMatter;0.71837067;2;;;;;;;;;;;;
120111;Hippocampus;0.518368089;11.91637529;;;;;;;;;;;;
120111;Thalamus;0.695999348;15.93737745;;;;;;;;;;;;
120111;WhiteMatter;0.848923496;2.236067977;;;;;;;;;;;;
120111-PP;Amygdala;0.551147483;9.16515139;;;;;;;;;;;;
120111-PP;GreyMatter;0.70551171;2.828427125;;;;;;;;;;;;
120111-PP;Hippocampus;0.57774627;10.29563014;;;;;;;;;;;;
120111-PP;Thalamus;0.731323389;14.07124728;;;;;;;;;;;;
120111-PP;WhiteMatter;0.852168424;2;;;;;;;;;;;;
122317;Amygdala;0.595815085;13.34166406;;;;;;;;;;;;
122317;GreyMatter;0.735852442;2;;;;;;;;;;;;
122317;Hippocampus;0.546582499;13.07669683;;;;;;;;;;;;
122317;Thalamus;0.763974109;14.03566885;;;;;;;;;;;;
122317;WhiteMatter;0.835499329;2.828427125;;;;;;;;;;;;
122317-PP;Amygdala;0.626281076;13;;;;;;;;;;;;
122317-PP;GreyMatter;0.725430102;2.236067977;;;;;;;;;;;;
122317-PP;Hippocampus;0.617609909;11.22497216;;;;;;;;;;;;
122317-PP;Thalamus;0.79495614;6.08276253;;;;;;;;;;;;
122317-PP;WhiteMatter;0.840380484;2;;;;;;;;;;;;
122620;Amygdala;0.60180213;13.15294644;;;;;;;;;;;;
122620;GreyMatter;0.738159417;2.236067977;;;;;;;;;;;;
122620;Hippocampus;0.556609347;14.2126704;;;;;;;;;;;;
122620;Thalamus;0.762203963;12.52996409;;;;;;;;;;;;
122620;WhiteMatter;0.807591583;2.828427125;;;;;;;;;;;;
122620-PP;Amygdala;0.631197559;13;;;;;;;;;;;;
122620-PP;GreyMatter;0.726736016;2.828427125;;;;;;;;;;;;
122620-PP;Hippocampus;0.612737127;11.74734012;;;;;;;;;;;;
122620-PP;Thalamus;0.78234303;5;;;;;;;;;;;;
122620-PP;WhiteMatter;0.816641733;2;;;;;;;;;;;;
123117;Amygdala;0.536634022;13.07669683;;;;;;;;;;;;
123117;GreyMatter;0.722317768;2.449489743;;;;;;;;;;;;
123117;Hippocampus;0.530757193;13;;;;;;;;;;;;
123117;Thalamus;0.709572653;16.79285562;;;;;;;;;;;;
123117;WhiteMatter;0.846568627;3;;;;;;;;;;;;
123117-PP;Amygdala;0.5762096;12.40967365;;;;;;;;;;;;
